date,price,volume,company
2015-02-24,$78.45,18871220,META
2015-02-24,$44.09,25262080,MSFT
2015-02-25,$32.1975,298220480,AAPL
2015-02-25,$27.3665,40825000,GOOGL
2015-02-25,$79.56,25546020,META
2015-02-25,$43.99,29749090,MSFT
2015-02-26,$32.6037,364687320,AAPL
2015-02-26,$27.9645,54014680,GOOGL
2015-02-26,$80.41,30980750,META
2015-02-26,$44.055,26524300,MSFT
2015-02-27,$32.115,247725400,AAPL
2015-02-27,$28.1315,68293440,GOOGL
2015-02-27,$78.97,30705140,META
2015-02-27,$43.85,33784370,MSFT
2015-03-02,$32.2725,192170720,AAPL
2015-03-02,$28.751,50313980,GOOGL
2015-03-02,$79.75,21645890,META
2015-03-02,$43.88,31766030,MSFT
2015-03-03,$32.34,150999600,AAPL
2015-03-03,$28.9398,50520380,GOOGL
2015-03-03,$79.60,18602170,META
2015-03-03,$43.28,31685600,MSFT
2015-03-04,$32.135,126353920,AAPL
2015-03-04,$28.9165,37951320,GOOGL
2015-03-04,$80.895,28057010,META
2015-03-04,$43.055,25746840,MSFT
2015-03-05,$31.6025,225565120,AAPL
2015-03-05,$29.0717,35902340,GOOGL
2015-03-05,$81.21,27792840,META
2015-03-05,$43.11,23176110,MSFT
2015-03-06,$31.65,290798720,AAPL
2015-03-06,$28.645,37556840,GOOGL
2015-03-06,$80.005,24457940,META
2015-03-06,$42.36,36120570,MSFT
2015-03-09,$31.785,353640960,AAPL
2015-03-09,$28.705,23482960,GOOGL
2015-03-09,$79.44,18908230,META
2015-03-09,$42.85,32106530,MSFT
2015-03-10,$31.1275,274881440,AAPL
2015-03-10,$27.9925,40059700,GOOGL
2015-03-10,$77.55,22965310,META
2015-03-10,$42.03,39158290,MSFT
2015-03-11,$30.56,275250760,AAPL
2015-03-11,$27.7845,40506820,GOOGL
2015-03-11,$77.57,20141490,META
2015-03-11,$41.98,32214780,MSFT
2015-03-12,$31.1125,192933080,AAPL
2015-03-12,$28.0585,35592700,GOOGL
2015-03-12,$78.93,16069270,META
2015-03-12,$41.02,59984700,MSFT
2015-03-13,$30.8975,206978680,AAPL
2015-03-13,$27.65,35389640,GOOGL
2015-03-13,$78.05,18481750,META
2015-03-13,$41.38,57972120,MSFT
2015-03-16,$31.2375,143265200,AAPL
2015-03-16,$28.082,36818620,GOOGL
2015-03-16,$78.07,19289450,META
2015-03-16,$41.56,35257510,MSFT
2015-03-17,$31.76,203564920,AAPL
2015-03-17,$27.8805,28879820,GOOGL
2015-03-17,$79.365,22105760,META
2015-03-17,$41.695,31669340,MSFT
2015-03-18,$32.1175,260472680,AAPL
2015-03-18,$28.308,35243380,GOOGL
2015-03-18,$80.91,36732660,META
2015-03-18,$42.50,44178520,MSFT
2015-03-19,$31.8738,182698080,AAPL
2015-03-19,$28.1835,24606960,GOOGL
2015-03-19,$82.75,42047570,META
2015-03-19,$42.285,33836100,MSFT
2015-03-20,$31.475,274064720,AAPL
2015-03-20,$28.2475,44255280,GOOGL
2015-03-20,$83.80,44405260,META
2015-03-20,$42.88,71754700,MSFT
2015-03-23,$31.8025,150390400,AAPL
2015-03-23,$28.2685,30033220,GOOGL
2015-03-23,$84.43,27291310,META
2015-03-23,$42.855,26233420,MSFT
2015-03-24,$31.6725,130988800,AAPL
2015-03-24,$28.877,79040060,GOOGL
2015-03-24,$85.31,32507390,META
2015-03-24,$42.90,25453110,MSFT
2015-03-25,$30.845,206022400,AAPL
2015-03-25,$28.35,53055560,GOOGL
2015-03-25,$82.92,37348640,META
2015-03-25,$41.46,43427180,MSFT
2015-03-26,$31.06,189638440,AAPL
2015-03-26,$28.182,49788140,GOOGL
2015-03-26,$83.01,32754510,META
2015-03-26,$41.21,37483900,MSFT
2015-03-27,$30.8125,157886880,AAPL
2015-03-27,$27.8775,34515600,GOOGL
2015-03-27,$83.30,18313110,META
2015-03-27,$40.97,33980410,MSFT
2015-03-30,$31.5925,187899920,AAPL
2015-03-30,$28.0568,24779000,GOOGL
2015-03-30,$83.195,24506180,META
2015-03-30,$40.96,34999850,MSFT
2015-03-31,$31.1075,168077680,AAPL
2015-03-31,$27.735,34924460,GOOGL
2015-03-31,$82.215,19705200,META
2015-03-31,$40.655,34884740,MSFT
2015-04-01,$31.0625,161852560,AAPL
2015-04-01,$27.4745,38728640,GOOGL
2015-04-01,$81.665,22028080,META
2015-04-01,$40.72,36841010,MSFT
2015-04-02,$31.33,128685640,AAPL
2015-04-02,$27.0655,47744580,GOOGL
2015-04-02,$81.555,19631440,META
2015-04-02,$40.29,37483000,MSFT
2015-04-06,$31.8375,147669960,AAPL
2015-04-06,$27.1975,33688900,GOOGL
2015-04-06,$82.44,19008980,META
2015-04-06,$41.545,39161760,MSFT
2015-04-07,$31.5025,139579240,AAPL
2015-04-07,$27.243,27318120,GOOGL
2015-04-07,$82.32,17442950,META
2015-04-07,$41.53,28808840,MSFT
2015-04-08,$31.40,149088360,AAPL
2015-04-08,$27.442,28385820,GOOGL
2015-04-08,$82.275,18936170,META
2015-04-08,$41.42,24699710,MSFT
2015-04-09,$31.64,128977440,AAPL
2015-04-09,$27.401,32355700,GOOGL
2015-04-09,$82.17,15902970,META
2015-04-09,$41.48,25722630,MSFT
2015-04-10,$31.775,160503040,AAPL
2015-04-10,$27.427,26103940,GOOGL
2015-04-10,$82.04,12501090,META
2015-04-10,$41.72,27856770,MSFT
2015-04-13,$31.7125,144994480,AAPL
2015-04-13,$27.432,29325540,GOOGL
2015-04-13,$83.01,26868830,META
2015-04-13,$41.76,30270750,MSFT
2015-04-14,$31.575,101673120,AAPL
2015-04-14,$26.989,47151720,GOOGL
2015-04-14,$83.515,19612620,META
2015-04-14,$41.65,24238760,MSFT
2015-04-15,$31.695,115689680,AAPL
2015-04-15,$27.052,46913640,GOOGL
2015-04-15,$82.705,22358670,META
2015-04-15,$42.255,27307270,MSFT
2015-04-16,$31.5425,112080960,AAPL
2015-04-16,$27.176,31655540,GOOGL
2015-04-16,$82.31,13678800,META
2015-04-16,$42.16,22425300,MSFT
2015-04-17,$31.1875,205925240,AAPL
2015-04-17,$26.637,49175400,GOOGL
2015-04-17,$80.775,24156000,META
2015-04-17,$41.615,41912450,MSFT
2015-04-20,$31.90,187900440,AAPL
2015-04-20,$27.2265,38507540,GOOGL
2015-04-20,$83.09,28700450,META
